,CountryName,RegionName,PredictorName,Cumul-7DMA-MAE-per-100K,PredictorRank
5609,United States,Oklahoma,mlp_model_1110_6,369.8095854561919,6.0
5609,United States,Oklahoma,mlp_model_1110,494.8481034621023,7.0
5609,United States,Oklahoma,mlp_model_0110,5560.890783529127,8.0
5631,United States,Oregon,mlp_model_1110_6,41.1617972039174,1.0
5631,United States,Oregon,Linear,65.37073254276694,2.0
5631,United States,Oregon,mlp_model_0110_6,68.2266715557956,3.0
5631,United States,Oregon,mlp_model_1110,69.37723822415721,4.0
5631,United States,Oregon,LSTM,73.7326092381839,5.0
5631,United States,Oregon,mlp_model_1110_2,246.59593073346647,6.0
5631,United States,Oregon,mlp_model_0110_2,291.1856905034281,7.0
5631,United States,Oregon,mlp_model_0110,78134.3773360705,8.0
5653,United States,Pennsylvania,LSTM,86.09728534509432,1.0
5653,United States,Pennsylvania,Linear,134.23650746882268,2.0
5653,United States,Pennsylvania,mlp_model_1110,151.8559911107298,3.0
5653,United States,Pennsylvania,mlp_model_0110_6,289.0577246150289,4.0
5653,United States,Pennsylvania,mlp_model_1110_2,353.46684706348293,5.0
5653,United States,Pennsylvania,mlp_model_0110_2,359.4793541494393,6.0
5653,United States,Pennsylvania,mlp_model_1110_6,378.9140623095415,7.0
5653,United States,Pennsylvania,mlp_model_0110,741.0617858884492,8.0
5675,United States,Rhode Island,mlp_model_1110_6,103.45592556800486,1.0
5675,United States,Rhode Island,mlp_model_1110_2,109.56655519039792,2.0
5675,United States,Rhode Island,mlp_model_0110_6,133.03574307360523,3.0
5675,United States,Rhode Island,Linear,182.11187110997065,4.0
5675,United States,Rhode Island,mlp_model_1110,221.80638479062205,5.0
5675,United States,Rhode Island,mlp_model_0110_2,282.052427762551,6.0
5675,United States,Rhode Island,LSTM,390.2172309167137,7.0
5675,United States,Rhode Island,mlp_model_0110,22752.408077916254,8.0
5697,United States,South Carolina,Linear,40.61659191119688,1.0
5697,United States,South Carolina,LSTM,91.7663240719264,2.0
5697,United States,South Carolina,mlp_model_0110_6,287.0405295292445,3.0
5697,United States,South Carolina,mlp_model_1110_2,301.7451888942734,4.0
5697,United States,South Carolina,mlp_model_1110,359.2380602175721,5.0
5697,United States,South Carolina,mlp_model_1110_6,359.7370381966965,6.0
5697,United States,South Carolina,mlp_model_0110_2,377.7071853301921,7.0
5697,United States,South Carolina,mlp_model_0110,74735.959127688,8.0
5719,United States,South Dakota,mlp_model_0110_6,94.9634597540442,1.0
5719,United States,South Dakota,mlp_model_1110_6,201.88461541587913,2.0
5719,United States,South Dakota,Linear,233.34842313750664,3.0
5719,United States,South Dakota,mlp_model_0110_2,297.63143336403255,4.0
5719,United States,South Dakota,mlp_model_1110_2,353.1344838361257,5.0
5719,United States,South Dakota,mlp_model_1110,496.34845680772645,6.0
5719,United States,South Dakota,LSTM,544.6658240103087,7.0
5719,United States,South Dakota,mlp_model_0110,14877.764888939624,8.0
5741,United States,Tennessee,Linear,233.51724653238935,1.0
5741,United States,Tennessee,mlp_model_0110_2,324.9623836969521,2.0
5741,United States,Tennessee,mlp_model_0110_6,415.62837003912585,3.0
5741,United States,Tennessee,mlp_model_1110,429.68873288358907,4.0
5741,United States,Tennessee,LSTM,440.3544206253321,5.0
5741,United States,Tennessee,mlp_model_1110_2,506.2988038616917,6.0
5741,United States,Tennessee,mlp_model_1110_6,546.1449875694375,7.0
5741,United States,Tennessee,mlp_model_0110,27589.66763730877,8.0
5763,United States,Texas,mlp_model_0110_2,30.354980375165162,1.0
5763,United States,Texas,mlp_model_0110_6,38.3819139434372,2.0
5763,United States,Texas,mlp_model_1110_2,104.43236426848219,3.0
5763,United States,Texas,LSTM,121.23366100878856,4.0
5763,United States,Texas,Linear,145.79712051425145,5.0
5763,United States,Texas,mlp_model_1110_6,193.2929157483022,6.0
5763,United States,Texas,mlp_model_1110,237.0414457019766,7.0
5763,United States,Texas,mlp_model_0110,317.4883450612713,8.0
5785,United States,Utah,mlp_model_0110_6,217.11506754232929,1.0
5785,United States,Utah,Linear,297.7537552187123,2.0
5785,United States,Utah,mlp_model_0110_2,307.1994838893698,3.0
5785,United States,Utah,mlp_model_1110_2,346.32535438691633,4.0
5785,United States,Utah,mlp_model_1110_6,348.2313694613211,5.0
